Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,34.11k km  ,Petrol    ,Manual       ,"6,549/m*"  ,3.58L          ,3.35L  ,             34.11 ,         3.35 ,2016 ,     6549.0
Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,30.23k km  ,Petrol    ,Auto         ,"13,064/m*" ,7.83L          ,6.68L  ,             30.23 ,         6.68 ,2018 ,    13064.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,63.23k km  ,Petrol    ,Manual       ,"6,843/m*"  ,3.85L          ,3.50L  ,             63.23 ,         3.5  ,2018 ,     6843.0
Hyundai Xcent          ,SX 1.2                             ,96.90k km  ,Petrol    ,Manual       ,"7,900/m*"  ,3.17L          ,3.00L  ,             96.9  ,         3.0  ,2014 ,     7900.0
Hyundai GRAND I10 NIOS ,SPORTZ AMT 1.2 KAPPA VTVT          ,40.15k km  ,Petrol    ,Auto         ,"8,895/m*"  ,4.55L          ,None   ,             40.15 ,              ,2020 ,     8895.0
Hyundai Elite i20      ,ASTA 1.2 (O)                       ,1.1L km    ,Petrol    ,Manual       ,"7,891/m*"  ,3.96L          ,3.55L  ,              1.1  ,         3.55 ,2018 ,     7891.0
Hyundai EXTER          ,SX 1.2 AMT                         ,8.80k km   ,Petrol    ,Auto         ,"14,607/m*" ,7.72L          ,7.47L  ,              8.8  ,         7.47 ,2023 ,    14607.0
Hyundai Creta          ,SX (O) 1.6 PETROL                  ,63.75k km  ,Petrol    ,Manual       ,"15,798/m*" ,8.48L          ,8.30L  ,             63.75 ,         8.3  ,2019 ,    15798.0
Hyundai NEW I20 N LINE ,N6 1.0 TURBO GDI IMT               ,11.86k km  ,Petrol    ,Manual       ,"13,392/m*" ,6.85L          ,None   ,             11.86 ,              ,2021 ,    13392.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,69.95k km  ,Petrol    ,Auto         ,"11,535/m*" ,6.77L          ,5.90L  ,             69.95 ,         5.9  ,2016 ,    11535.0
Hyundai AURA           ,SX PLUS 1.2 AMT CRDI               ,57.70k km  ,Diesel    ,Auto         ,"10,601/m*" ,6.88L          ,5.42L  ,             57.7  ,         5.42 ,2020 ,    10601.0
Hyundai Xcent          ,SX 1.2                             ,1.3L km    ,CNG       ,Manual       ,"7,897/m*"  ,3.99L          ,3.55L  ,              1.3  ,         3.55 ,2019 ,     7897.0
