Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2016 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,34.11k km  ,Petrol    ,Manual       ,"EMI ₹6,549/m*"  ,₹3.58L         ,₹3.35 lakh
2018 Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,30.23k km  ,Petrol    ,Auto         ,"EMI ₹13,064/m*" ,₹7.83L         ,₹6.68 lakh
2018 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,63.23k km  ,Petrol    ,Manual       ,"EMI ₹6,843/m*"  ,₹3.85L         ,₹3.50 lakh
2014 Hyundai Xcent          ,SX 1.2                             ,96.90k km  ,Petrol    ,Manual       ,"EMI ₹7,900/m*"  ,₹3.17L         ,₹3.00 lakh
2020 Hyundai GRAND I10 NIOS ,SPORTZ AMT 1.2 KAPPA VTVT          ,40.15k km  ,Petrol    ,Auto         ,"EMI ₹8,895/m*"  ,₹4.55 lakh     ,
2018 Hyundai Elite i20      ,ASTA 1.2 (O)                       ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹7,891/m*"  ,₹3.96L         ,₹3.55 lakh
2023 Hyundai EXTER          ,SX 1.2 AMT                         ,8.80k km   ,Petrol    ,Auto         ,"EMI ₹14,607/m*" ,₹7.72L         ,₹7.47 lakh
2019 Hyundai Creta          ,SX (O) 1.6 PETROL                  ,63.75k km  ,Petrol    ,Manual       ,"EMI ₹15,798/m*" ,₹8.48L         ,₹8.30 lakh
2021 Hyundai NEW I20 N LINE ,N6 1.0 TURBO GDI IMT               ,11.86k km  ,Petrol    ,Manual       ,"EMI ₹13,392/m*" ,₹6.85 lakh     ,
2016 Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,69.95k km  ,Petrol    ,Auto         ,"EMI ₹11,535/m*" ,₹6.77L         ,₹5.90 lakh
2020 Hyundai AURA           ,SX PLUS 1.2 AMT CRDI               ,57.70k km  ,Diesel    ,Auto         ,"EMI ₹10,601/m*" ,₹6.88L         ,₹5.42 lakh
2019 Hyundai Xcent          ,SX 1.2                             ,1.3L km    ,CNG       ,Manual       ,"EMI ₹7,897/m*"  ,₹3.99L         ,₹3.55 lakh
2019 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT CNG           ,58.08k km  ,CNG       ,Manual       ,"EMI ₹7,038/m*"  ,₹3.92L         ,₹3.60 lakh
2016 Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,57.73k km  ,Petrol    ,Manual       ,"EMI ₹6,199/m*"  ,₹3.82L         ,₹3.17 lakh
2023 Hyundai EXTER          ,SX 1.2 AMT                         ,6.84k km   ,Petrol    ,Auto         ,"EMI ₹14,702/m*" ,₹8.23L         ,₹7.52 lakh
2016 Hyundai Elite i20      ,ASTA 1.2                           ,28.16k km  ,Petrol    ,Manual       ,"EMI ₹7,429/m*"  ,₹3.80 lakh     ,
